"","Pais","Num_Articulos","latitude","longitude"
"1","USA",62,39.7837304,-100.445882
"2","Suiza",5,46.7985624,8.2319736
"3","Colombia",3,4.099917,-72.9088133
"4","Holanda",27,52.2434979,5.6343227
"5","Singapur",12,1.357107,103.8194992
"6","Ucrania",4,49.4871968,31.2718321
"7","UK",20,54.7023545,-3.2765753
"8","Canada",4,61.0666922,-107.991707
"9","Rep Checa",2,49.817492,15.472962
"10","Lituania",2,55.3500003,23.7499997
"11","Japón",1,36.5748441,139.2394179
"12","Bulgaria",4,42.6073975,25.4856617
"13","Polonia",1,52.215933,19.134422
"14","España",1,39.3260685,-4.8379791
"15","Israel",2,30.8124247,34.8594762
"16","Croacia",1,45.3658443,15.6575209
"17","Eslovenia",4,46.1199444,14.8153333
"18","Países bajos",2,52.2434979,5.6343227
"19","Alemania",3,51.1638175,10.4478313
"20","Corea del sur",1,36.638392,127.6961188
"21","Italia",5,42.6384261,12.674297
"22","Mexico",1,23.6585116,-102.0077097
"23","Austria",1,47.59397,14.12456
"24","Francia",1,46.603354,1.8883335
